SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
NESCO,EQ,1422.8,1460.4,1406.3,1447.5,1455,1416.4,49437,71164738.00,03-Sep-2025,7218,INE317F01035
NESTLEIND,EQ,1206.5,1206.5,1191.3,1194.8,1192.3,1200.9,827824,990709340.10,03-Sep-2025,47424,INE239A01024
CBAZAAR,ST,4.2,4.2,4,4,4,4,240000,962000.00,03-Sep-2025,8,INE518X01015
NETWEB,EQ,2355.9,2564,2281.8,2526.9,2516,2266.6,7513235,18565846465.50,03-Sep-2025,364554,INE0NT901020
NPST,EQ,2120.3,2150,2100.1,2116.5,2111,2116.6,10538,22260955.40,03-Sep-2025,1839,INE0FFK01017
NETWORK18,EQ,53.84,55.35,53.62,54.66,54.69,53.77,3725494,203829440.54,03-Sep-2025,18147,INE870H01013
NEULANDLAB,EQ,13728,14545,13671,14368,14500,13728,61458,870617792.00,03-Sep-2025,16709,INE794A01010
NEWGEN,EQ,891.45,923.2,881.05,904.35,904,891.4,715607,649911503.80,03-Sep-2025,36632,INE619B01017
NEWJAISA,SM,32.9,39.4,32.9,39.4,39.4,32.85,243000,9136200.00,03-Sep-2025,111,INE0PW501021
NMSTEEL,SM,33.7,34,33.7,34,34,32.95,9600,325840.00,03-Sep-2025,6,INE0TP801012
NEXTMEDIA,EQ,6.44,6.58,6.25,6.34,6.34,6.31,6523,42044.82,03-Sep-2025,37,INE747B01016
NXST,RR,146.95,147.29,146.1,146.3,146.3,146.7,639329,93665739.84,03-Sep-2025,4735,INE0NDH25011
NGLFINE,EQ,1506.9,1508.9,1414,1478.5,1491.9,1472.3,5129,7552586.20,03-Sep-2025,382,INE887E01022
NHPC,EQ,79.5,79.94,79.2,79.38,79.29,79.56,4900025,389355379.39,03-Sep-2025,30626,INE848E01016
NIBE,EQ,1198,1244,1192,1216.4,1223.8,1185.2,95067,116586404.20,03-Sep-2025,5290,INE149O01018
NIDAN,SM,18.2,18.55,18,18.25,18.4,18,6000,109800.00,03-Sep-2025,6,INE0J6L01013
NIITMTS,EQ,334.5,338.8,331.05,336.3,338.8,334.1,68376,22974659.45,03-Sep-2025,5467,INE342G01023
NIITLTD,EQ,113.82,115.19,113.32,114.81,114.8,113.82,452615,51825538.06,03-Sep-2025,5111,INE161A01038
NIKITA,SM,120.1,124,119.75,119.95,120,120.45,328800,39512820.00,03-Sep-2025,106,INE0FLF01015
NILAINFRA,EQ,10.6,10.74,10.36,10.5,10.5,10.57,508700,5346521.77,03-Sep-2025,1142,INE937C01029
NILASPACES,EQ,15.19,15.52,14.45,14.63,14.73,14.97,682823,10166041.32,03-Sep-2025,2391,INE00S901012
NILKAMAL,EQ,1563.5,1579.2,1549,1553.8,1553.9,1568.6,4600,7172993.70,03-Sep-2025,1296,INE310A01015
NINSYS,EQ,483.35,487,461.2,464,464.9,475.3,3683,1736543.15,03-Sep-2025,484,INE395U01014
BANKBEES,EQ,561,561,554,558.58,558,554.73,478890,266203425.37,03-Sep-2025,6679,INF204KB15I9
CONSUMBEES,EQ,137.29,137.29,134.85,136.79,136.7,135.86,152618,20801543.17,03-Sep-2025,1393,INF204KA1LD7
DIVOPPBEES,EQ,78.47,79.06,77.02,77.29,77.43,77.14,33259,2567346.70,03-Sep-2025,855,INF204KA1MS3
NV20BEES,EQ,148.33,148.49,147.23,147.54,148.05,147.6,12302,1815728.11,03-Sep-2025,266,INF204KB18I3
GOLDBEES,EQ,87.48,88,87.22,87.88,87.87,86.61,18818564,1653037824.45,03-Sep-2025,56937,INF204KB17I5
HNGSNGBEES,EQ,474.74,483.8,465.35,476.61,478,479.63,218906,104441407.83,03-Sep-2025,7705,INF204KB19I1
INFRABEES,EQ,923.51,930.59,923.22,926.41,927.47,928.25,11041,10219262.88,03-Sep-2025,440,INF732E01268
ITBEES,EQ,38.02,39.3,38.02,38.76,38.8,39,4991525,193295236.92,03-Sep-2025,17822,INF204KB15V2
JUNIORBEES,EQ,730,730,715.65,723.87,724,719.6,197705,142897253.27,03-Sep-2025,8792,INF732E01045
LIQUIDBEES,EQ,999.99,1000.01,999.51,999.99,999.99,999.99,3057207,3057191655.13,03-Sep-2025,3595,INF732E01037
